Anonymized Message,Valence1,Valence2,Arousal1,Arousal2
"Yay~ going to Ontario Mills with <PERSON> and <PERSON> For her birthday~ >u< Pfftt but she's late, as I expected... =3=#",7,7,6,5
"not exactly a magical birthday being the first day of <PERSON> and yardah, yardah, yardah...birthday messages definitely cheered me up though! :D",6,3,6,4
This Iz ReAL,6,5,4,1
"The Government is lost to the <PERSON>, an alien Empire that gives free food and med to the world but not all are so trusting. A loose group of families  the media calls the unmarked flee to the remote areas of the states, Provence and ghettos of the world.... just what in my head!...",3,3,4,5
"There is no greater gift you can give or receive than to honor your ,calling. It's why you were born. And how you become most truly alive.",6,7,3,3
Loves pizza..,6,6,3,2
how many times do i have to mistreat you constantly biting my hands as i feed you ?,3,4,5,2
"First day in school with for course taken in six hours and Mass hearing by 5:00 to 6:00 pm then followed by the first talk in singles for christ The Love of God\. I maximized my time to accommodate all my activities""",4,6,4,1
Yay! It's friday!,6,8,7,7
Being sick sucks.,4,3,4,3
P-A-R-T-Y !,6,7,7,6
Just got my new cell phone yesterday text meh :D <PHONE>,6,7,4,4
<PERSON> is fat. =] Very Fat,5,6,3,4
"omg, y is life so difficult??? when one door closses another one opens, well where the f*** is the other door...",4,2,6,7
"Why yes I did slaughter <PERSON> in ping pong, thanks for asking.",6,7,3,1
I bought megaman 10 for my wii.  It's the hardest game ever T^T,4,5,3,1
"I feel like I should clean the house, so I am going to lay down until the feeling passes...:P*",5,5,2,2
"PHONE NUMBERS IS NOW ON FACEBOOK!! NO JOKE... Go to the top right of your screen, click Account then Edit Friends. Go to the left side of your screen and click Phonebook. Everyone's phone numbers are now being published. Please repost to let your ...friends know this is happening so they can remove their        number..        SCARY STUFF",4,4,7,7
Wow... Dad. Awesome moment of my teenage life? I think it falls in there. Thanks! =],7,8,5,4
fell in2 a muddy brook,4,4,3,1
When you know who you are and who's you are then you don't have to respond to negativity. Let the Lord fight your battles. He can do it way better than you can. Trust in the Lord and lean not to your own understanding. Self-check.,6,5,2,3
I am bored,5,4,1,2
Making love with my ego.,5,5,1,1
feels tight literally!,5,6,5,4
You guys are great.,7,7,3,3
Feel knackered but great couple of days with the best company. <PERSON> as always great show great guy! Role on next gig,6,7,4,6
I got this for sure!,6,8,6,6
"tHANk U EVERy1 4 All tHE HAPPy BDAyS . i HAD fUN , DiNNER N a MOViE tHANkS BABE .",7,7,5,4
IS SUPER STRESSED AND ITS JUST THE SECOND MONTH OF SCHOOL..D:,3,2,6,8
You rise. You fall. Your down then you rise again. What don't kill ya make ya more strong.,6,5,3,1
if you need to ask if you are full time... you are def not full time yeaaaaaaaaaaaaaa yeahhhhh,4,4,5,3
"Note to self just because it says \Flammable\"" it doesnt mean its a sugguestion...\"" <PERSON>.\""""",5,5,3,1
I was working at grad night the intire time and i've had 3hours of sleep!,4,4,5,6
LOL how true 'Urban Dictionary' <PERSON> buy <PERSON> mugs,5,6,4,4
my son <PERSON> baked me a birthday cake last night all by himself and everyone sang Happy birthday to me....I felt the love! Today the weather is so beautiful...is it really November 7th? Feels like spring out!,8,9,6,8
Ouch.....my head,3,3,3,3
" Men marry women with the hope they will never change. Women marry men with the hope they will change. Invariably they are both disappointed.\ <PERSON>\""""",4,5,2,1
One mo gen upportin one of ma boyz as they take dat plunge BEST WISHES <PERSON> AND <PERSON> Im honored to stand with you as you embark on the next chapter in your life.  LOVE YOU GUYS LIKE A PLAY COUSIN!,7,8,6,7
........,5,5,1,3
OH EM GEE I LOVE MY SISTER <PERSON> SO MUCH! I WISH I WERE AS COOL AS HER!!!!!!!!!!!!! LIKE I CANT EVEN BELIEVE THAT I AM SO LUCKY TO HAVE HER AS MY SUPER DUPER AWESOME BIG SISTER!!!!!!! :DDDDDDD,8,8,9,9
JELLYPUSS....,5,5,5,4
RAMADAN MUBARAK TO ALL,6,6,6,6
Wow what a game Boston could have had it but Lakers took it.,4,6,4,3
At last :),6,7,4,5
Looking for more team mates please send me an invite,5,5,2,1
Rest In Peace <PERSON> I Will Never Forget You.,5,3,3,1
... just signed the lease! Officiallly living with my girl <PERSON> for next year! yayyy!,6,8,6,7
Been about two weeks since last Tae Kwon Doe Lesson. This is going to hurt.,4,3,3,1
"Antibiotics are kicking in...trying to cough up my lungs, but at least not feeling so run down.  Just in time to go home tomorrow morning....good times.",4,3,3,3
CARE TO BE MY NEW FRIEND?,5,5,4,7
"listening to In the Hall of the Mountain King, Perpetuum Mobile- a Musical Joke, and some hard core Mozart.... real music doesn't rely on words to show emotion!",6,6,5,5
Talked to Banky today. That was a surprise. He sounded really good and he sounds really focused for when he comes home. Slow day at work,6,6,3,3
Got an E75 today.... awesome phone :),6,7,5,4
dnt get scared.... jst missing my.... darling curles....,5,5,3,1
Just got my Ipod Touch,5,5,2,1
"is fed up of searching for info on The Man Who Knew Too Much\. Can anyone help?\""""",5,5,3,3
Since im stuck in Morgantown....alchy-cider sledding,5,5,3,1
"Just spent two hours cleaning out the basement of boxes and miscellaneous items that were in them. Must've been about 40-50 boxes...Now most are in the garage because we have yet to go through all of them. Yay, I get to look forward to this in the Spring and Summer AGAIN.",4,2,4,4
going home today the kids were great this weekend god i never knew how much i rlly missed them i wish they never had to go back. i love you <PERSON> and <PERSON> i wish u guys would never grow up. i<3 <PERSON>,6,9,5,4
trying to figure out how to work this thing hopefully i get it.,4,5,3,1
thanks to everyone who wished me a happy birthday you are all amazing,6,8,4,3
:),6,7,2,4
thanks for the birthday wishes everyone!!!,7,7,7,5
Thanks to everyone who said Happy birthday to me.....      (cant wait for March 9) :],6,6,4,4
Time to log off ...,5,5,2,1
"If you are avoiding me just because your being teased, it might mean that you are a coward. You never faced the words thrown that are against your will. But I will never get angry at you because you are still stuck somewhere in my heart where i might not find you for years. I will wait for you to come near me and say something to me. I would be glad to hear it from you, ****** :) :) :) Happy Valentines Day!!",6,5,4,5
"Let it snow, let it snow!",6,7,4,4
Why is it always so hard... and hurts so bad...,4,1,3,3
"Over the past 50 years <PERSON> employed 88 joke writers who supplied         him with more than one million gags, and he still couldn't make me         laugh.",4,4,3,3
good luck to everybody with exams *prays*,6,6,2,1
"Started work, makin bank!",6,7,5,6
"2 missed FG's, dammit!!! Still like <PERSON> though any kicker that gets in bar fights is cool with me, but seriously make those FG's!",5,4,6,7
ok... just finished reading the latest bleach manga. so <PERSON> still plans to milk bleach even more by starting a new arc. I wonder if <PERSON> would start from scratch again here? it also looks like <PERSON> would have a bigger role.,5,5,2,1
Cant wait until June 12,6,6,4,4
"Pizza reaches home faster than Ambulance & police,  Car loans @ 5% and education loan @ 12%, Rice is Rs 40/- per kg but SIM card is free, The footwear is sold in AC showrooms, but vegetables, that we eat, are sold on footpaths...Got to change something here...",4,2,4,5
Is all set for tomorrow :D i am so excited :),6,7,6,8
Stupid Frontierville bear scared my cat and it clawed me -.-,4,4,4,5
loui is great  in bed,6,6,3,1
<PERSON> Shortall <3,6,6,2,2
Shout outs to <PERSON> and bro for getting me to airport early-- they're axing the last 24 passengers that checked in due to weight restriction! Holy balls,6,5,5,6
Mrs <PERSON> and i are gonna go shopping!!!,6,7,7,7
shame on the West Indies :-( good luk for T&T :-),5,4,4,4
Need to be extra careful now a days. flu...conjunctive eyes...typhoid .........are the most common results of ignorance :(,4,2,4,4
DOTA DOTA DOTA..hehehehe isshhhh...micro..hmpf...,6,5,5,6
is having a MRI done today...she prays 4 a answer 2 her pain and a healn n her body. God Bless FB.,5,5,4,1
about yo buy my bus tickets back to vt!,6,7,5,5
"New ideas in the dead of night when dreaming is natural ...\\""""",6,5,3,3
"With so much drama in the LBC, It's kinda hard bein' Snoop D-O double G, But I somehow, some way, keep comin', Up with funky-ass shit like every single day        May I kick a little somethin' for the G's and make a few ends as I, Breeze through two in tha mornin and the party's still jumpin, Cause my mama ain't home.",5,5,4,1
"Sudden change of plans. Some work I was hoping to do for my family got canceled, and that may cost me what I need to get to The Honeypot on the 27th. I should know in the next couple days if I am going thurs or not :/",4,4,3,2
War on my page. Just need one more person to attack and its over,4,5,2,1
"So in Ga. there are now a tiny fraction of children who just happened to be in that mystical, magical age range to have woken up in all of the wind we had on chrismas eve and heard the little branches and acorns tapping on the roof and who will swear for the next few years that they HEARD SANTA.  I love it.",6,7,4,3
Thanks guys! Had a great b-day in GA with the fam.,6,7,5,5
The weekend is almost here!  YAY!,6,7,6,6
What the hell is a tweet?,4,4,3,4
me to mom: remember that time i got a LD mom: phsch,5,5,2,1
ROLL TIDE!!!!!,5,5,7,9
Thank you all for the thinking about me:)  God I am getting old.,6,6,4,5
I made some really tasty mac n cheese soup tonight.  It was yummy!,6,6,5,4
"Will i ever get to where i'm going.... if i do, will i know when i am there?  If the wind blew me in the right direction, would i even care.... i would.",5,5,1,3
Bummer...my Cowboys.....,4,3,2,3
"They just robbed that man on So You Think You Can Dance\!!!!\""""",4,3,6,7
birthdays don't feel like birthdays anymore,4,2,3,3
"Through the mayer's ruined head, the boy steps through the window and cries out from the ledge to the people below. Theres a time to pray and theres a time to fight. Anything can be a weapon if your holding it right. Defend what is yours, they will not take our souls. It's time not to rise, and fight.' Save Our City - Ludo",6,5,1,3
WTF! Why do i now own the season set of Glee? Because it rocks!,6,7,5,7
HAPPY THANKSGIVING,6,6,5,5
Lil <PERSON> walks in the bedroom and dad has mom bent over going at it. Dad winks at <PERSON> and <PERSON> leaves. Dad thinks he better talk to <PERSON>. After looking through the whole house dad finds <PERSON> upstairs with grandma bent over putting it to her hard. Dad flips out. What the hell are you doing?<PERSON> winks and says...... Not so funny when its your mom huh bitch?!,4,5,4,4
YOUMACON WAS ABSOLUTELY AMAZING GONNA START GETTING READY FOR NEXT YEAR VERY SOON,7,7,6,8
Babe I'm not drowning in your silent eyes. So who died and make you king of anything?,3,5,3,3
"With so many records broken in one Daytona, it only makes sense for the winner to be historical as well. Awesome freakin' finish, huge congrats to Trevor Bayne! Just awesome!",6,7,6,5
Is Not really up for it today.,4,4,2,3
what a blessed night thank you all for coming betufill double ritual night again thank you to all who came,6,7,3,4
Oftn usd to say ma momm tat i vud neva miss her .. Bt 2dae am missin her .. 2 mch ... Luv u mom .. !!,6,3,5,6
I think I have to go back to work tomorrow.,5,5,1,1
Just about time to roll for FNM with White Eldrazi. We'll see how she plays.,5,5,2,1
im freakin bored somebody suggest something to do other than come up  with different ways to kill myself,4,4,3,3
poppin' champagne,6,5,3,1
Today I am thankful that I live in a world were technology is so advanced and options are so great that almost anything is possible!  I also like that I have been able to watch and be part of this technological revolution moving from a bag phone up to seeing this droid that is just to cool!,6,8,4,6
will not be traveling outside of a three mile radius of my apartment with my mother ever again.,4,4,3,2
Interview for Nashville fire department! Pray that I do well.,6,6,5,5
"I need Chicken in Farmville, Please HELP HELP HELP!",4,4,6,7
Who hasn't seen the Schroderhuis yet? Join me in shame! Audiotour tomorrow at 3 or 4.,5,5,5,3
lil mans movin around so much i feel like im havin ticks.....,4,5,3,3
Bored...cant wait for <PERSON> ta come over so that i have someone ta talk to...really need ta talk ta someone,4,3,1,3
woching NFL :) HD tv allmost makes up for not haveing foxtel eny more,6,6,4,4
time to get rdy for work T_T 2-10 i cant do anything with my day,4,4,3,1
missed!,5,5,5,5
ha sucks fer trevor,4,5,4,3
I HAVE NO MORE HAIR I WILL POST a pic later so im going to get ready and see what I got in store for me today peace,5,5,4,3
"Last night was amazing! Not only did I see Anthony Rapp and Adam Pascal's LAST performance of RENT, but we also ended the night at 3 Fires Lounge were the whole cast was celebrating!",7,8,7,6
Thanks for all the B day wishes!!,7,7,6,4
Thinks waking up at 6:00 is punishment from god,4,4,2,3
after living a certain way for so long can someone truly change who they are?,5,5,2,1
feels gud to be back on fb.. all my frenz r here/ missd u all,6,7,2,3
i dont know what to wrtie in the box,5,5,1,1
"dam fresh memories....that shit was too funny cuzin! man i had a ball wit you and kinfolks!lmao! dont trip, im comin in december fa sho. i know ms.mom gonna be feastin around that time too... oh im there! and this time maybe we can make it to your pad!lmao! love you cuzo.peace",7,9,6,6
"Baby polar bear goes to his mother and asks, am i a real polar bear?\  \""yes of course. Why do you ask?\""  the baby replies""",5,5,3,1
YAYERH!,5,5,6,8
Today was the first day of my vacation. I have been laying around all day..This is the life.,6,7,2,3
"I wonder why we go to school if education is knowledge, knowledge is power, power corrupts, corruption leads to crime and crime doesn't pay?",4,4,3,3
bowlingg today <3 hopefully i'll get higher than a 61 :-P,5,6,4,4
Mustard Man! Woo Woo Bow Down! A shout out for all those who know what mustard man does.,6,7,5,6
:-)  just gotta get through the weekend.  :-),6,7,4,4
high tea!!! =),6,8,6,7
Man...Ilove <PERSON> so much young...coming home tomar,5,7,3,2
:'(,3,2,3,5
fell victim to a birthday prank!!!  Im gonna git you guys!!!!!!,5,7,7,9
ALLLLLLLLloooooooooooooo,5,5,6,5
"Ok, so if you watch the news on channel 33 out of dallas at 9:37 PM you just say a picture of <PERSON>. SHE IS FAMOUS!! lol.",6,5,5,4
Does anyone have Graduation pictures that I can use for the new I Have a Dream website??  Must be with your cap and gown!!!  NEED RIGHT NOW!!!  Like in the next hour--before 5pm.  Thanks!!!,6,5,6,8
live love laugh think sleep work  and then die .........:P,5,6,3,4
fun night out! excited for tomorrow!,7,7,6,5
eh get to go to aso... so tired... idk if ill make it through,4,4,2,3
Man its a beautiful day think im gonna go for a drive... dont know where and dont know how long... T tops will be off and music will be a blastin thats for sure!,7,8,6,4
"is dead-scared yet smiley after a face-to-face meeting with Emma... cute lil'one, she is...",5,6,3,3
survived another weekend of work....more to come i guess!!,6,5,5,6
Life is one big mess to me. When will I ever learn how to figure it out.,4,1,2,3
"thank you all for your wonderfull sentiments it meant alot, never in my life do i remeber gettig so many greetings it was nice. i had a wonderfull day and a wonderfull time at my moms and i lit up her path to the barns this year, NO MORE FLASHLIGHTS YEA!!  and my horse has lights too she scared of the storms up here for some strange reason. i love my mama",7,9,5,4
yipeeeee !,7,7,7,6
"Everybody hates me now, so fuck it,	I'm not afraid to cry, but that's none of your business!	Whose life is it? Get it? See it? Feel it? Eat it?	Spin it around so I can spit in it's face.	I wanna leave without a trace,	'Cause I don't wanna die in this place!",3,1,4,6
If anyones interested im selling my ps3 eye toy camara for $20 or $25 so yeah. just comment if you want to buy one cause ive got 3 and i need to sell 2.,5,5,1,1
OMG 2010 creeping up,5,5,3,4
Having fun with my sis and Halloween oreos.,6,6,2,1
Championship Or Nothing-Los Angeles Lakers,5,5,3,3
"less than 4 hours til the Big Day\!!!!!!!!\""""",6,7,8,8
My Michele..life would suck without her...,6,6,3,3
Thanks again everyone,6,6,1,1
The photos rock! Thanks Fiona! * Hugs *,7,7,5,5
"little bit drained, alittle bit pumped... but mostly ready to crawl under the sheets!!! FUN??",6,6,6,7
"When we react to life from the head without joining forces with the heart, it can lead us into childish, inelegant behavior that we don't respect in ourselves. If we get the head in sync with the heart first, we have the power of their teamwork working for us and we can make the changes we know we need to make.",6,6,2,3
Mondays are murder,4,4,1,3
"says: Life is Music, Play it LOUDER",5,6,3,3
"I am SO tired of family drama.  It seems like the older you get, the more convinced you are of the right to act like a total asshole.",3,3,4,3
"..morning everyone!mwuahh...sleep nah q,.,open p q 8am..^.^",6,5,2,5
"I hate this kind of status, but...I'm at work all day. So txt and I'll get back to you asap :) haha ewwww I did it, I caved to the FB monster!",5,7,5,5
would like to say a huge thankyou for all the lovely birthday wishes. i had a lovely relaxed day now i am getting old this is all my body can take.,7,7,3,3
"Yes everyone i am alive!! I am OKAY i just don't have a phone still so i haven't been able to keep in contact with everybody. Had fun on Halloween Nevaeh was a little kitty cat, i'll have pics up soon",6,6,6,4
is so glad to be home from work.Merry Christmas to all.,7,7,4,1
"I am a jack of all trades, yet master of none.",4,5,2,1
"The scripture says, No one who believes in him will be put to shame.\\""""",4,6,1,3
"I hurt ma foot evry1!!! :( me sad, haha not really! XOXOX",5,7,4,8
in love with Aida.,6,8,2,1
Just uploaded a mass of weird pics lol I'm wondering what you think of em!,6,6,5,4
"HELLO FB friends virus spreading like wildfire,	it is a trojan virus worm CALLED Koobface. It will steal your information,	attacking your computer andshut it down! and Do not open the link 	(Obama Clinton Scandal), and if SMARTGRRRL15\ add you as a friend""",4,5,4,3
"Thanks to everyone who left a comment on my wall (: . . . i would reply to them all, but i dont have a spare twenty minutes. i love youuuu Ã¢â„¢Â¥",6,7,4,3
BARCELONA SUCKSS hahaha ARSENAL 2-1 CMON BABY!!!!!,6,7,6,9
is memory full! can't think of anything today........grrrrrr.....!,4,3,5,5
"We don't love qualities, we love persons; sometimes by reason of their defects as well as of their qualities................",6,5,2,1
SCHOOL TOMORROW DANGIT,4,3,5,6
SOLs tommorow...ughh,4,4,3,3
"Ã¢â‚¬Å“And in the end, it's not the years in your life that count. It's the life in your years.Ã¢â‚¬Â",5,5,3,1
i only hope everyone go an vote unc on de 24th rather than they stay home an drink like dey win already,5,4,3,3
"Happy 4th yo! Now, let's see some pretty lights and explosions...not necessarily in that order in or in same time frame! XD",7,7,6,5
once upon a time...i gave a shit,5,4,2,3
"Everybodys got something they can give, and that can be prevented by using the dental dam.",5,5,2,1
Ã¢â‚¬Å“A child's life is like a piece of paper on which every passerby leaves a mark.Ã¢â‚¬Â -Chinese proverb,5,5,1,1
dead fb~LOL,5,6,4,4
am i d 0ne to blame??????????,4,3,4,6
Up past my bedtime wheeee! Waiting for <PERSON> and <PERSON> to come home.,6,7,5,5
"A huge lesson for me was that if I was gonna be successful, I had to be successful as myself - I couldn't be successful doing what other people were doing. I had to do what I believed in and what felt real to me and felt true to me, because the worst thing to be is successful as someone else. - Jay-Z",6,5,2,1
"How do you say Disip in Spanish Disip Gazzman Wilton Djkompa Disip Versace Michael Adolphe Chancy , I want tell my Dominican girlfriend since have never heard of any such name..She asked me if that the name of a drink...lol.",5,5,3,2
About to take the JEOPARDY! Teen Test.,5,5,3,1
is love and peace.,6,9,2,1
"Yest nite @ 2 am earthquake in delhi, felt d tremors for d 1st tym in my lyf!!! Thank God I'm still Alive!!",6,6,8,6
Happy new Year yall,7,6,4,1
sick and tired of being sick and tired!,3,3,5,4
Duuuude... I'm BRAIN DEAD right now... and mellow... like REALLY mellow... no homo,4,5,4,3
LOL this sight keeps telling two of my freinds are Idiots.,5,6,4,3
Mr. Rager - KiD CuDi,5,5,1,1
House M.D =D,6,6,3,4
thinks that being sick is so not cool...,4,3,2,4
"Well, time to get everyone ready....Jeremy is singin at graduation, Jasmine is going to her cousin's, Korina is going to grammy's and I have to go to work....catch everyone laterz!",6,5,4,3
Scared. I hate this feeling. Im never scared.,3,2,3,3
my computer's too slow. speed it up buddy!,4,4,5,4
Yeah brithday party at shyanne house  It my god sister brithday,6,5,3,1
Happy Veterans Day to all I have served with and all who has served!!,7,7,6,4
maine :),7,7,4,1
Happy hump day!,6,6,6,3
"I could never figure out why people could hurt the ones they love the most, who would have thought  I would turn into someone like that. what else can I say except that I'm sorry, I'll change. They aren't empty words I'll prove it I promise I'll find a way to brings things back to the way they were, I won't push you away anymore. Thank you to the friend that was there for me and never gave up on me.",8,2,4,4
Life ish about giving and takeing~ <3 .................................... *Whispers* But try to be the one who's takeing! XD,5,6,6,4
"Two roads diverged in a wood, and IÃ¢â‚¬â€	I took the one less traveled by,	And that has made all the difference.",5,5,3,1
I love the smell of spring,7,7,2,1
"You know how you have those people that are always telling you what you've done wrong or how to live your life, you know why? Cause there life is shit and unfixable, so they think by helping you helps them. I say fuck that do what you want when you want people, it's your life not there's.",6,2,4,3
The only courage that matters is the kind that gets you from one moment to the next. ~Mignon McLaughlin,6,5,1,1
Tinychat time! Click the link to come me - <URL>  (tinychat.com),5,5,1,1
Thanks to everyone for the Birthday Wishes!!,7,6,5,5
I have yet to acquire the taste for beer :P,5,5,3,2
successfully saved his energy for this afternoon's Rag Ball. Should be quite the epic day it should.,6,6,3,3
"So tired.. 12.5 hours of driving is a lot for one day (that is only travel time, not including breaks + lunch + fuel).  Had a nice 1.5 weeks in k-town, unfortunately got sick for my b-day - least I was mostly better for the drive back.  May post more details later.",4,5,3,1
haha jane your the only mate bawbag deleted!!!! pmsl hun.xxxxxxxxxx,5,5,6,7
realize how much Mondays suck again. May this week end quickly.,4,4,2,1
THE STREAK IS OVER!!! LIONS WIN!!!!!!!,7,8,8,9
"Hey if  you had sex with you from another universe and the were the other gender what would called it and you had kid from that be a clone, just somthing i was wondering",5,5,3,1
"kids are in bed, i'm watching tv and getting ready for bed also",5,5,1,1
is thinking we need to invent a contraceptive for laundry baskets since every time I turn around it's reproduced!,5,5,4,4
got a new pic does any1 like it?,5,5,3,3
Always remember that you are unique. Just like everybody else.,7,6,2,1
is starting to get nervous about starting a new position.,4,4,2,3
I am soooo excited about the movie For Colored Girls,6,6,6,2
Need 2 b doing class work!,5,4,5,4
Customer: I want a hot fudge sunday,5,5,1,1
"is going to do some cleaning around this house go throught the girls clothes, what fun today!!!!!!!!!",6,4,7,6
I hope the dance isn't gonna suck this time,4,4,3,1
"A true friend doesn't care if you're broke, when your house is a mess, about your past, or if your family is full of crazies... They love you for who you are! A true friend can go long periods of time without speaking to you & never question the friendship! REPOST if you are blessed enough to have at least one true friend. They will know who they are",7,6,2,3
"For my birthday I would like my family (and friends of) to give me one memory of my Dad, no matter how small.",5,5,2,1
"Choose your FRIEND very carefully, because they will become your INTRODUCTION!!!!!",5,5,6,7
Why is it raining?!?  It's not supposed to rain!  So sad...,4,2,6,5
Who ever thought God would bless me with a wonderful man a beautiful daughter and a gorgous mother and wonderful family and friends. I DID!,7,9,6,4
just wants to thank everyone for the happy birthday wishes!!!! I love you guys :),7,9,5,7
"is in Ormond Beach, FL waiting to get unloaded.",6,5,2,1
"says Happy Birthday to <PERSON>!!!\.... as deep depression sets in when I try to come to terms that I am the mother of a teenager......\""""",5,5,5,3
Bored...,4,4,1,3
Issues with photos.....but finally have some posted!  Will post more later!,6,6,6,4
"Lovely day, lovely woman, breakfast, then..............",6,7,2,2
IÃ¢â‚¬â„¢m selling a '07 Mustang GT in Nitto 1320 Legends! <URL>,5,5,4,3
"Sent my big toe half way up my shin bone thanks to toe ala crunch\ via the door jamb........... Maybe It's time for new glasses? Foot reduction is also an option :)\""""",5,6,4,2
college's closed till semester.....itz so cold n v hv been releived frm gtng up at 5 in d mrng...,5,5,2,3
Getting ready to have dinner with my family. Having a good birthday.,7,7,2,1
"Most frequent facebook word of the day: mindmap\.\""""",5,5,1,1
"When we wake in the morning, we have two simple choices, Go back to sleep and dream, or wake up and chase those dreams, The choice is yours! )",8,6,4,4
How long could I stay in bed if I put my mind to it?,5,5,2,1
"y does every1 i like soo much breaks my heart? little by little i break down, i cant stop my emotions, i cant understand it either...im losing it..idk wut to do w/ my life..i thought i knew but now i dont noe..",3,1,3,3
"Quote Of The Week No one is perfect. Every makes mistakes; but wise people learn from not only them but from other.\\""""",7,6,3,1
...yii...,5,5,1,3
20min,5,5,1,1
AWW I need to save up for a (Ear) Tube Job instead of A BOOB Job! LOL My Ear is hurting a lil along with my throat...I dont wanna lose my voice! AGAIN!,4,3,6,6
zzzzzzzzzzzzzzzzzzzzz,5,5,1,1
"i will not bow, i will not break, i will shut the world away. i will not fall, i will not fade, i will take your breath away",6,6,3,3
just bought a trumpet...! Though the other marines in the barracks might not me as happy... :D now all I have to do is wait for it to come! yay! And perhaps go buy some music books...,7,7,4,4
