Anonymized Message,Valence1,Valence2,Arousal1,Arousal2,Predicted Valence,Predicted Arousal
good night everyone!!!pleas smile before you go to bed..in case something happen...and you fall asleep indefinitely...you have a smile in your face....,6,4,5,4,6.116666666666666,4.225333333333333
Driving to cape may for the weekend now. So bored...,4,3,3,1,5.464,3.6
"ATTENTION EVERYONE---There's a site called <URL> that's a new online phone book w/personal information: everything from pics you've posted on FB or web, your approx credit score, home value, income, age, etc. You can remove yourself by first searching for yourself on their site to find the URL of your page, then going to the Privacy button on the bottom of their page to remove yourself. Copy & repost",5,5,5,1,6.177185185185186,4.152
Cracked another one!!! One to go!!!,6,7,7,8,4.636,4.09
is contemplating how to spend his Xbox points...,5,5,2,1,6.376,6.96
la lingaw.. sleepy na.. work napud ugma. hehehe,5,6,3,1,6.292,3.884
"according to nbc news people getting social security won't get an increase bcause the cost of living isn't going up, because the inflation rate is negative.....          first of all the cost of living is always going up, second of all the inflation rate is not negative, and third: if i was negative it wouldn't be 'in'flation, it wuld be 'de'flation",4,3,3,3,5.248000000000001,4.692
school be messed up,3,2,3,3,6.74,3.652
florida virtual school sux ass,3,1,4,4,5.184,5.472
Finally got a working phone again....and its nice!,7,7,6,5,6.964,4.6080000000000005
"After a discussion on the environment and our natural world (that we're destroying) a 7 year old raised her hand with something to say.,Well",5,3,3,3,5.1735999999999995,4.1112
"<PERSON>       No matter what your party is, this is not the time to point fingers.  This woman and many other people were attacked by a person that should have been out of society.  I have everyone in my prayers to include <PERSON>, and I am a hardcore conservitive.  Remember that this is America and we can all think differently, this should not result in what happened today.  God be with you",3,7,4,1,6.3459047619047615,4.334857142857143
"she shld win the new zealand award for miss blob\ i love you dad hahaha\""""",6,7,6,3,7.444571428571429,5.258285714285715
"How can a cell phone that can hold tons of pictures claim that the texting inbox is full\ at under a hundred short text messages?\""""",4,3,4,2,5.322909090909092,3.7454545454545456
"Thanks for the B-day wishes everybody! I had a great day...Saints mopped the floor with the Giants(5-0 Woo, Hoo!), then we had sushi! Who could ask for more?!",7,9,6,9,6.6,4.597714285714286
Drank some KC Tea last night. Pretty good!!,6,7,5,8,7.218,3.886
cause she is an american ggggiiiirrrlll!!!! got to give it up for tom petty,6,6,6,8,4.810666666666666,4.349333333333334
is starting my first night at my new job tonight.............I'm so happy!  :),8,9,7,7,7.134399999999999,5.2592
"yea, JETS.. shut up",5,4,4,2,4.9639999999999995,4.056
is fixin' to have a party this halloween.,6,5,2,1,7.82,5.916
I have had a amazing day. Thanks for your encouragement <PERSON>. I am on fire. I then got to go to a christian concert in Sedalia to see <PERSON> he sings my savior lives. There was also <PLACE> Weave and it was life changing and wonderful and I am so thankful and blessed.,6,9,4,4,7.235764705882352,5.049882352941176
an edition of 14 was completed today... that was nice. :D  Now just one more edition of 5.  But for now: shower time then Symbolic Logic time... yeesh....,6,6,5,2,6.365818181818181,3.8065454545454545
So ive learned that things are weird not a bad  weird but a good weird,6,7,3,1,4.504,5.211428571428572
I think I have spent more than 90% of time for others and less than 1% for myself. And slowly I am realizing that almost everyone in this world has almost the same statistics. It feels good as I am not the only victim but it also compells me to think if this is the ideal way of living life!,6,3,4,6,5.949142857142857,4.192571428571428
Someone should make a <PERSON> Facts website to compete against Chuck Norris.,5,5,2,1,5.963199999999999,5.1392
"doesn't like to be reminded of that i-know-wat's-gd-for-u\ attitude that gahment institutions display\""""",3,2,3,4,6.652,4.1240000000000006
"Just got back from handling class/shopping a little while ago. I was trying on some heals for my rotc uniform, which was a bad idea since my ankle got irritated in class. When i put the heals on, i could barly walk in them and my hurt ankle was litterally popping and rolling.... So much for getting better. :/",3,2,4,3,4.8785,4.413499999999999
A life of wisdom consists of being constantly engaged in letting go,5,5,2,1,7.1728,5.024
"i honestly never saw the enjoyment in watching people do physical activity, such as play football, who cares?",5,3,4,3,6.538,5.806
"Oh, looks like we're going to have to draw some... STRAWS.",4,5,5,4,6.8133333333333335,4.176
I have no patience... hahaha....,5,5,4,3,7.112,3.056
"Dogs are fantastic. Chester farts, then gets up and runs out of the room and leaves me to deal with it.",6,4,3,1,7.445333333333334,5.207999999999999
TOTP this sat,4,6,4,1,1.0,1.0
fun in the sun!!,7,7,7,7,8.18,5.9719999999999995
Has Anyone Else Realized That The People On Family Guy Only Have 4 Fingers?,5,5,5,1,6.824000000000001,4.077999999999999
sooo tierd,4,4,3,3,1.0,1.0
.--. Put this dog on .//^ ^\\\\ your profile (/(_ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¢_)\\) to show ._/''*''\\_ that you are (/_)^(_\\) against animal cruelty,5,5,2,4,5.265333333333333,5.410666666666666
: Many of the great achievements of the world were accomplished by tired and discouraged men who kept on working,6,7,4,1,5.713333333333334,4.713333333333333
"I'm hoping to go to the zoo and Great wolf....I hope I can, I hope I can......................",6,6,3,4,6.811555555555555,4.698666666666667
patiently waiting out the days,4,5,2,1,2.912,3.7119999999999997
"It's true that we don't know what we've got until we lose it, but it's         also true that we don't know what we've been missing until it arrives.",5,5,3,1,5.990666666666667,4.4
<PERSON> thinks its funny to stick his fingers down his throat and make himself vommit.....,4,4,4,2,5.0896,4.6192
Ok. All done with the beach today. Might do the Promenade tonight or tomorrow.,6,5,2,1,7.384,4.5264
6 hrs until mid night release for black ops.,6,6,2,1,5.129599999999999,4.5296
wow so many people from school have found me lately. i'm really happy that they even remember me. i miss you guys,7,8,5,4,7.066285714285714,4.777142857142857
"Happy bday to my angel <PERSON>...I miss you and love you. See you soon...\""""",7,8,6,4,7.457333333333334,4.6946666666666665
"Yay~ going to Ontario Mills with <PERSON> and <PERSON> For her birthday~ >u< Pfftt but she's late, as I expected... =3=#",7,7,6,5,6.274000000000001,5.378
"not exactly a magical birthday being the first day of <PERSON> and yardah, yardah, yardah...birthday messages definitely cheered me up though! :D",6,3,6,4,7.709333333333334,6.008000000000001
has nothing on her mind.,5,5,2,1,6.2,4.103999999999999
This Iz ReAL,6,5,4,1,6.752000000000001,5.08
"<PERSON> 40:31        But they that wait upon the LORD shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint.",6,6,1,2,5.093714285714285,4.2217142857142855
"The Government is lost to the <PERSON>, an alien Empire that gives free food and med to the world but not all are so trusting. A loose group of families  the media calls the unmarked flee to the remote areas of the states, Provence and ghettos of the world.... just what in my head!...",3,3,4,5,5.415111111111111,4.768
DOG FAIRFAX COUNTY BET NOT FAKE i aint trynna have no skool dough,4,5,5,4,4.981333333333334,4.650666666666666
"There is no greater gift you can give or receive than to honor your ,calling. It's why you were born. And how you become most truly alive.",6,7,3,3,7.1208,5.1056
Im cool like ****,6,6,4,1,7.416,4.572
Loves pizza..,6,6,3,2,7.776,4.12
how many times do i have to mistreat you constantly biting my hands as i feed you ?,3,4,5,2,6.427200000000001,4.5296
Just got accepted into the kitchen manager program...with a baby on the way...what to do? what to do?...,4,4,6,4,6.192,4.248
"First day in school with for course taken in six hours and Mass hearing by 5:00 to 6:00 pm then followed by the first talk in singles for christ The Love of God\. I maximized my time to accommodate all my activities""",4,6,4,1,6.649846153846154,4.1612307692307695
"Anyone who knows anything of history knows that great social changes are impossible without feminine upheaval. Social progress can be measured exactly by the social position of the fair sex, the ugly ones included.  <PERSON>",4,6,4,3,6.294117647058822,5.001411764705883
holy fuck its supposed to get up to the 90s for the weekends :P,4,6,6,7,5.0920000000000005,5.028
Can someone remind me of what summer feels like again?,4,5,4,1,6.828000000000001,4.002
Yay! It's friday!,6,8,7,7,6.272,4.944
conspiracy theory. My land lord thinks I'm stilling light bulbs from my own house. How can they go bad he asked me. Hum let me think. He's right light bulbs never go out. What was I thinking. So any way hit me up if you need a light bulb. I have so many. And maybe I can even get you a magic bulb that never needs replacing. O MY GOD,3,3,4,5,5.714666666666666,4.290962962962963
"Christmas is almost here!!! Jesus was born 2,010 years and 341 days ago... PRAISE JESUS!!!",8,8,6,9,6.908571428571428,4.2297142857142855
Being sick sucks.,4,3,4,3,1.8760000000000001,5.4559999999999995
P-A-R-T-Y !,6,7,7,6,1.0,1.0
Just got my new cell phone yesterday text meh :D <PHONE>,6,7,4,4,5.894666666666667,3.584
"It finally cooled off enough to open the windows and cool off the house before bed. However, a skunk has decided to do his stinky business outside. Eww. Bad skunk. Bad.",4,4,3,3,4.698,4.778666666666666
<PERSON> is fat. =] Very Fat,5,6,3,4,2.584,3.824
Shh Did you hear that! OMG it's calling me -.yep my bed is calling.. night all sweet dream..Zzz,6,6,4,5,6.446857142857143,4.146285714285714
"omg, y is life so difficult??? when one door closses another one opens, well where the f*** is the other door...",4,2,6,7,5.3508571428571425,3.865142857142857
Black hats sideways white bold LA,5,5,3,1,5.666,3.056
Gone to the Greenway for a 2.5 mile run!,6,7,6,4,4.613333333333333,4.824
"Why yes I did slaughter <PERSON> in ping pong, thanks for asking.",6,7,3,1,5.022,5.83
I am now officially a certified personal trainer,6,6,2,3,6.944,4.872
I bought megaman 10 for my wii.  It's the hardest game ever T^T,4,5,3,1,6.88,7.303999999999999
"20 years ago, on a night just like tonight....road called roller coaster...",5,5,2,1,5.6582857142857135,4.365714285714286
"I feel like I should clean the house, so I am going to lay down until the feeling passes...:P*",5,5,2,2,6.108571428571429,3.577142857142857
did'nt realise how bad a dead leg could be.... 4 days.. and its still as bad as day 1....WTF,4,3,4,4,3.934666666666667,4.448
Wow-so many bday wishes continue to come-thanks so much everyone!...and I have to give a shout out to the BEST sous chef working to prepare us an awesome dinner at the Hyeholde in Moon-Amy Hebster's man-<PERSON>!!,7,8,5,7,6.6989090909090905,5.320727272727273
I GOT DEM BRAIN DAWGS!,7,5,7,9,6.336,4.5280000000000005
"PHONE NUMBERS IS NOW ON FACEBOOK!! NO JOKE... Go to the top right of your screen, click Account then Edit Friends. Go to the left side of your screen and click Phonebook. Everyone's phone numbers are now being published. Please repost to let your ...friends know this is happening so they can remove their        number..        SCARY STUFF",4,4,7,7,5.613428571428571,4.234285714285715
every Catholic should look-up this Poem. Audrey Assad got her insperation for her single 'For Love Of You from this Poem: As King Fishers Catch Fire -Gerard Manely Hopkins,6,5,2,1,6.145,4.5840000000000005
Wow... Dad. Awesome moment of my teenage life? I think it falls in there. Thanks! =],7,8,5,4,7.548571428571428,5.470857142857143
fell in2 a muddy brook,4,4,3,1,4.042666666666667,4.224
When you know who you are and who's you are then you don't have to respond to negativity. Let the Lord fight your battles. He can do it way better than you can. Trust in the Lord and lean not to your own understanding. Self-check.,6,5,2,3,5.965333333333334,4.385066666666667
One CRAZY ASS day glad its over...,4,4,5,5,5.2848,5.6624
"In my line of work, I rarely have the opportunity to actually refuse anything; as such, I really appreciate all of the invites and requests regarding lame-ass Facebook games.  Flatly ignoring them is quite cathartic for me.",4,2,3,3,5.878000000000001,4.729
"There is a chicken and an egg in bed, chicken has head on pillow and is smoking. Egg rolls over annoyed and saysi guess we answered that question.\\""""",5,5,2,1,5.205818181818182,3.9672727272727273
I am bored,5,4,1,2,2.224,2.336
Making love with my ego.,5,5,1,1,6.311999999999999,5.380000000000001
feels tight literally!,5,6,5,4,5.5680000000000005,3.824
You guys are great.,7,7,3,3,8.664,6.32
Feel knackered but great couple of days with the best company. <PERSON> as always great show great guy! Role on next gig,6,7,4,6,7.4096,5.624
I got this for sure!,6,8,6,6,6.792000000000001,3.16
"tHANk U EVERy1 4 All tHE HAPPy BDAyS . i HAD fUN , DiNNER N a MOViE tHANkS BABE .",7,7,5,4,8.164571428571428,5.446857142857143
IS SUPER STRESSED AND ITS JUST THE SECOND MONTH OF SCHOOL..D:,3,2,6,8,5.7264,4.6655999999999995
"I accept full responsibilty for the all the wrong I've done,If you thought I was perfect,I apologise for being human ,But never again ,You can put my life on that",4,3,3,4,6.438222222222222,4.196444444444444
Make New Year's........like a fuckin' Catalina Wine Mixer!!!!!,6,8,7,9,6.878400000000001,4.4879999999999995
You rise. You fall. Your down then you rise again. What don't kill ya make ya more strong.,6,5,3,1,4.848,5.890285714285715
<PERSON> going with <PERSON> today is like going into a gun fight with a spoon. LETS GO YANKEES!,6,7,6,7,5.256,5.165333333333334
if you need to ask if you are full time... you are def not full time yeaaaaaaaaaaaaaa yeahhhhh,4,4,5,3,5.604,3.8000000000000007
"Note to self just because it says \Flammable\"" it doesnt mean its a sugguestion...\"" <PERSON>.\""""",5,5,3,1,4.9079999999999995,4.6000000000000005
"Playing guitar, hanging with pals: walking on air is the life.",6,7,2,3,6.6896,4.6335999999999995
":will be afk for the weekend, wet weather camping is a skill we should all have!",6,7,4,6,6.608999999999998,4.713
Thanks for the prayers :),6,7,3,6,8.344,4.776
I was working at grad night the intire time and i've had 3hours of sleep!,4,4,5,6,6.547199999999999,4.0352
do i have DOORMAT written on my forehead...?   =/,4,3,3,5,5.728,3.7920000000000003
"When you've been blessed it feels like heaven!\\""""",6,7,5,7,7.733333333333333,3.7119999999999997
"life's confusing... sometimes you feel happy, sometimes you feel sad... sometimes you're sad because you're happy... that's just so damn retarded...",4,2,4,4,5.140444444444444,5.689777777777778
LOL how true 'Urban Dictionary' <PERSON> buy <PERSON> mugs,5,6,4,4,6.696,4.966
"I wish <PERSON> would phone or email me. He should be in Seattle by now, he's been gone almost a week and not a word. :(",4,2,4,5,5.715,3.525
my son <PERSON> baked me a birthday cake last night all by himself and everyone sang Happy birthday to me....I felt the love! Today the weather is so beautiful...is it really November 7th? Feels like spring out!,8,9,6,8,7.629538461538461,5.025846153846154
Ouch.....my head,3,3,3,3,5.24,4.776
" Men marry women with the hope they will never change. Women marry men with the hope they will change. Invariably they are both disappointed.\ <PERSON>\""""",4,5,2,1,6.456799999999999,4.9736
BYE EVERYONE FOR 3 WEEKS I AM GOING TO ARMENIA BABY SEE YOU GUYS LATER,6,7,6,9,5.925333333333334,3.7519999999999993
is touched by all the birthday wishes. THANK YOU ALL!!!!!!!!!!!!!!!! XOXOXOX  My smile is so big it can split my face !!! :))))))))))))))))),7,9,7,9,6.804,4.914
"Had a LOOONGG but great day at work... now its time to sit back and relax the best way i can ,)",7,9,4,4,6.393777777777778,3.9208888888888884
One mo gen upportin one of ma boyz as they take dat plunge BEST WISHES <PERSON> AND <PERSON> Im honored to stand with you as you embark on the next chapter in your life.  LOVE YOU GUYS LIKE A PLAY COUSIN!,7,8,6,7,6.539692307692308,4.745230769230769
........,5,5,1,3,1.0,1.0
workin 7 days a week is good for tha $ but like i wanna go catch a flick ya kno! insted of just workin and catchin some drinks afterwards! ya kno...lol who wants to go with me! i gonna try to get a day off this or next week,6,6,5,4,6.1386666666666665,4.408666666666667
There's apart of me that really misses other worlds...and longs to live in one of them right now.,4,3,4,2,6.268000000000001,4.093999999999999
holy shit monday night was amazing,6,8,6,4,5.632,5.046
"rest in peace <PERSON>. you were my first love, you will always hold a very special place in my heart. you will be in my thoughts and prayers. i miss you <3",4,7,4,4,6.875076923076923,4.029538461538461
What does time mean to you? How would you define it?,5,5,3,1,5.449999999999999,4.164000000000001
Stayed up till 4 last night playing overlord raising hell. how i do not know,5,5,3,1,5.5249999999999995,5.093999999999999
"If a doctor removed you still-living brain moments before you died, and kept it alive with a tank of fluid enriched with blood, and finally transplanted your brain into a patient whose own brain was severely damaged..which home would the patient return to.. yours or theirs?",5,5,3,1,5.179764705882353,4.720941176470587
"After such a long time, I finally get to receive  my package!!! Although I need to declare my medical status, I don't  need to do any medical checkup!! WOOTS !!! :D",7,8,7,9,5.840000000000001,4.68
"if faith is a choice then it can be lost for a man, an angel, or the devel himself. God gave us a choice, he didn't comand us. he gave his love to all of us. i pray that all won't lose faith, hope, or love and won't give up, but to fight and defend the weak who are in need. the choice is yours don't lose it.",6,7,2,4,6.208727272727272,4.518181818181818
OH EM GEE I LOVE MY SISTER <PERSON> SO MUCH! I WISH I WERE AS COOL AS HER!!!!!!!!!!!!! LIKE I CANT EVEN BELIEVE THAT I AM SO LUCKY TO HAVE HER AS MY SUPER DUPER AWESOME BIG SISTER!!!!!!! :DDDDDDD,8,8,9,9,7.887333333333333,5.1066666666666665
JELLYPUSS....,5,5,5,4,1.0,1.0
RAMADAN MUBARAK TO ALL,6,6,6,6,1.0,1.0
i wish i could run into all my friends that i used to have here in windsor although that was in the sixth grade lol,6,6,5,3,6.225142857142857,4.668571428571429
Wow what a game Boston could have had it but Lakers took it.,4,6,4,3,6.693333333333334,5.152
Wow! Fun wedding =P Congradulations <PERSON> and <PERSON>!,7,8,6,7,8.172,7.58
At last :),6,7,4,5,1.0,1.0
is ready to go :-)),6,7,4,5,6.12,4.316
yayy! electric guitar!!,7,8,7,7,6.1786666666666665,5.898666666666666
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best",4,5,3,6,4.665846153846154,5.041846153846153
Looking for more team mates please send me an invite,5,5,2,1,6.642666666666667,5.256
Getting ready to go to Graduation.  So prpud of you Jess. We love you,6,8,4,1,7.32,5.0360000000000005
Rest In Peace <PERSON> I Will Never Forget You.,5,3,3,1,6.712,3.226
... just signed the lease! Officiallly living with my girl <PERSON> for next year! yayyy!,6,8,6,7,6.2303999999999995,5.2032
Been about two weeks since last Tae Kwon Doe Lesson. This is going to hurt.,4,3,3,1,4.672000000000001,4.772
"Life is full of fake peoplBefore you judge them,make sure you are not one of them.",4,3,3,4,5.632,4.4399999999999995
"Antibiotics are kicking in...trying to cough up my lungs, but at least not feeling so run down.  Just in time to go home tomorrow morning....good times.",4,3,3,3,5.567428571428571,4.3662857142857145
CARE TO BE MY NEW FRIEND?,5,5,4,7,7.443999999999999,4.026
"listening to In the Hall of the Mountain King, Perpetuum Mobile- a Musical Joke, and some hard core Mozart.... real music doesn't rely on words to show emotion!",6,6,5,5,6.471428571428571,5.397142857142857
Goin Home after a Year today :),6,7,5,5,6.872,3.2933333333333334
Talked to Banky today. That was a surprise. He sounded really good and he sounds really focused for when he comes home. Slow day at work,6,6,3,3,7.020571428571429,4.150857142857143
Got an E75 today.... awesome phone :),6,7,5,4,7.706666666666667,5.125333333333334
dnt get scared.... jst missing my.... darling curles....,5,5,3,1,5.154,5.42
Just got my Ipod Touch,5,5,2,1,6.167999999999999,4.816000000000001
"OH BLESSED DAY!!!!   Getting ready to go out and about for the day, wife says Can we please stop by Gamestop?\  she is finally growing into the gamer I know she can be!!!\""""",6,7,7,9,6.424,4.026666666666667
Hmmm work on A) Solo and Ensemble B) Debate C) Chess or D) Academics? I pick E) Facebook and Xbox! (:,6,6,4,3,5.557333333333333,4.629333333333333
"is fed up of searching for info on The Man Who Knew Too Much\. Can anyone help?\""""",5,5,3,3,6.212,4.486666666666666
"Thanks for all the B-day wishes.  Unfortunetly, I've been sick since then.  But I'm better now and just in time to leave tomorrow for PUERTO RICOOOO!!!",7,7,6,7,5.4688,4.0128
"The moment your dreams become a reality, is the moment you know you're finally living!! Any other experience is just ceasing to exist....",6,6,4,5,6.722909090909091,4.566545454545455
Since im stuck in Morgantown....alchy-cider sledding,5,5,3,1,4.112,5.764
"Just spent two hours cleaning out the basement of boxes and miscellaneous items that were in them. Must've been about 40-50 boxes...Now most are in the garage because we have yet to go through all of them. Yay, I get to look forward to this in the Spring and Summer AGAIN.",4,2,4,4,5.984,4.189333333333334
going home today the kids were great this weekend god i never knew how much i rlly missed them i wish they never had to go back. i love you <PERSON> and <PERSON> i wish u guys would never grow up. i<3 <PERSON>,6,9,5,4,7.125538461538462,4.932307692307693
Life is full of surprises n suspenses [ :)]..... but sometimes it's unbearable :(,4,4,4,5,6.04,5.874
trying to figure out how to work this thing hopefully i get it.,4,5,3,1,6.192,4.4799999999999995
thanks to everyone who wished me a happy birthday you are all amazing,6,8,4,3,8.586,6.776000000000001
:),6,7,2,4,1.0,1.0
My birthday is tomorrow!!!! so excited,7,8,7,7,8.117333333333335,6.738666666666667
"I am glad I am feeling better I am ready to go back to work I have lived on the phone and computer all day in my Pjs ... Only bad thing is i moved some of my accounts to Sat .. so now I have to work over the weekend and my daughter is bugging me to go to a dog show and I can't ,, Or I may not have my accounts  ):",4,4,4,1,6.39895652173913,4.530782608695652
thanks for the birthday wishes everyone!!!,7,7,7,5,8.548,6.264
Summmerrrsss baaaccckkkk!!!! God i missed fb!!!,7,7,8,8,7.064,5.144
"if theres a fat guy in a pastry shop with a twenty dollar bill and he's ready to buy, in order to predict his volume change you need to know the value of pi",5,5,3,1,6.072470588235294,4.7035294117647055
"I think <PERSON> is obsessed with me, and that is just weird....        jk",5,5,2,3,4.373333333333333,6.088
Thanks to everyone who said Happy birthday to me.....      (cant wait for March 9) :],6,6,4,4,6.8271999999999995,4.8688
Is anyone having a Halloween party on Halloween,5,5,2,1,8.584,7.72
Coffee!!!,6,6,6,6,7.584,4.343999999999999
Time to log off ...,5,5,2,1,5.779999999999999,3.636
Kinda upset at a couple friends but I might have a job so they aren't that important. Are they?,5,3,3,4,6.445333333333334,5.473333333333334
Yay!!! Uni is finally finished for the year :) hello three months off :),6,8,7,8,5.7712,4.0464
"If you are avoiding me just because your being teased, it might mean that you are a coward. You never faced the words thrown that are against your will. But I will never get angry at you because you are still stuck somewhere in my heart where i might not find you for years. I will wait for you to come near me and say something to me. I would be glad to hear it from you, ****** :) :) :) Happy Valentines Day!!",6,5,4,5,5.687304347826086,4.625739130434782
"Let it snow, let it snow!",6,7,4,4,5.376,3.944
"They may want to take Christ out of Christmas, but they can never take Christ out of me. If you are not ashamed of Christ then post this as your status for 1 day as a light to the world. Most people will be to ashamed or scared to do this. Remember Jesus Said. Whoever acknowledges me before men",6,3,4,5,6.203826086956522,4.689391304347827
Why is it always so hard... and hurts so bad...,4,1,3,3,2.708,6.332
Make a good life for yourself because no one is going to do it for you! :),6,7,5,5,7.0032,4.5888
"Over the past 50 years <PERSON> employed 88 joke writers who supplied         him with more than one million gags, and he still couldn't make me         laugh.",4,4,3,3,6.518857142857144,4.84
answered a question on Friend FactsÃ¢â€žÂ¢,5,5,2,1,6.664,4.292
good luck to everybody with exams *prays*,6,6,2,1,8.168,4.432
Ain't the world very confusing ? or am I retarded !?,4,4,6,3,4.074666666666667,5.1226666666666665
Life is a matter of choice. Why do I often make decision and in the meantime feel that I have to be responsible for what I do not choose??,4,3,5,5,6.497230769230769,4.7144615384615385
likes hammering nails more than weeding paths,5,5,3,1,4.22,6.228
"mistakes will always come back and haunt yooou.  i regret something for the first time in my liffe, i hate this feeeeling.  <3",4,3,3,4,4.443,4.9190000000000005
The Walking dead television pilot will commense filiming May 15th 2010. FUCK YES,6,7,7,7,5.206857142857143,5.132571428571429
"Started work, makin bank!",6,7,5,6,6.1240000000000006,4.692
"2 missed FG's, dammit!!! Still like <PERSON> though any kicker that gets in bar fights is cool with me, but seriously make those FG's!",5,4,6,7,5.38,5.633333333333334
"Damp again this morning, maybe the angry old lady will let us paint in the dew today instead of sending us home, but I doubt it.",4,4,4,3,5.59,3.92
ok... just finished reading the latest bleach manga. so <PERSON> still plans to milk bleach even more by starting a new arc. I wonder if <PERSON> would start from scratch again here? it also looks like <PERSON> would have a bigger role.,5,5,2,1,5.8864,4.1648
Cant wait until June 12,6,6,4,4,2.792,2.336
"Pizza reaches home faster than Ambulance & police,  Car loans @ 5% and education loan @ 12%, Rice is Rs 40/- per kg but SIM card is free, The footwear is sold in AC showrooms, but vegetables, that we eat, are sold on footpaths...Got to change something here...",4,2,4,5,6.523692307692307,4.608615384615384
Is all set for tomorrow :D i am so excited :),6,7,6,8,6.922666666666667,5.773333333333333
